,CustomerID,Number Of Purchases,Days From Last Purchase,Days From First Purchase,Total Revenue,Cluster Category
0,15491.0,1646,95.0,235.0,3100,1
1,14818.0,324,73.0,253.0,657,1
2,12754.0,6481,235.0,308.0,3010,0
3,13975.0,1732,31.0,276.0,2526,2
4,12817.0,53,281.0,281.0,166,0
5,14027.0,62,60.0,60.0,104,3
6,16308.0,8000,37.0,261.0,2560,2
7,15547.0,4032,7.0,362.0,4954,2
8,16921.0,171,61.0,61.0,169,3
9,15454.0,86,362.0,362.0,179,0
10,13258.0,287,11.0,205.0,698,1
11,12401.0,11,303.0,303.0,84,0
12,16284.0,544,31.0,50.0,823,3
13,15783.0,212,10.0,10.0,246,3
14,16979.0,865,3.0,297.0,1852,2
15,12828.0,494,2.0,130.0,1018,3
16,13939.0,847,23.0,311.0,568,2
17,16456.0,1148,99.0,373.0,2158,2
18,13937.0,123,169.0,169.0,158,1
19,13908.0,1478,79.0,276.0,2369,2
20,15218.0,3329,10.0,318.0,5756,2
21,17510.0,214,24.0,24.0,308,3
22,17374.0,85,218.0,281.0,495,0
23,13464.0,403,58.0,58.0,674,3
24,13483.0,160,65.0,65.0,140,3
25,13630.0,1391,5.0,285.0,2031,2
26,16161.0,2599,1.0,368.0,5575,2
27,14245.0,976,219.0,263.0,1693,0
28,15777.0,378,241.0,361.0,1047,0
29,13021.0,1352,4.0,358.0,2616,2
30,16887.0,157,35.0,35.0,194,3
31,17392.0,320,306.0,358.0,457,0
32,14951.0,311,79.0,79.0,311,3
33,15052.0,82,319.0,319.0,215,0
34,12391.0,300,21.0,21.0,460,3
35,14317.0,255,64.0,64.0,508,3
36,15869.0,175,277.0,277.0,149,0
37,15280.0,154,172.0,172.0,113,1
38,13149.0,1280,14.0,289.0,1676,2
39,14292.0,1663,7.0,282.0,4871,2
40,15516.0,27,44.0,46.0,62,3
41,12802.0,314,186.0,186.0,427,1
42,16183.0,113,67.0,67.0,338,3
43,14837.0,1436,89.0,201.0,1649,1
44,17837.0,518,42.0,163.0,1593,1
45,17058.0,592,81.0,239.0,1179,1
46,14044.0,308,26.0,309.0,652,2
47,15807.0,430,50.0,77.0,903,3
48,16464.0,963,19.0,142.0,1314,3
49,14584.0,383,169.0,198.0,1042,1
50,14099.0,2179,16.0,354.0,3104,2
51,17647.0,30,65.0,65.0,133,3
52,12816.0,128,95.0,176.0,572,1
53,17628.0,79,81.0,81.0,75,3
54,13404.0,111,1.0,212.0,252,1
55,13177.0,91,64.0,64.0,282,3
56,13557.0,546,28.0,280.0,584,2
57,16298.0,198,22.0,186.0,598,1
58,15087.0,470,281.0,281.0,306,0
59,12517.0,1371,28.0,190.0,2502,1
60,15108.0,499,141.0,227.0,1300,1
61,14547.0,2668,3.0,54.0,4007,3
62,17769.0,1862,12.0,320.0,3997,2
63,17228.0,1532,15.0,372.0,1906,2
64,15424.0,554,254.0,254.0,383,0
65,15630.0,800,45.0,204.0,1186,1
66,17759.0,708,17.0,169.0,834,1
67,14150.0,496,35.0,359.0,658,2
68,12968.0,73,112.0,112.0,135,1
69,14329.0,3095,17.0,329.0,5014,2
70,12929.0,37,311.0,311.0,117,0
71,18033.0,253,65.0,65.0,97,3
72,18154.0,255,3.0,43.0,399,3
73,17889.0,79,212.0,322.0,203,0
74,16754.0,4280,372.0,372.0,2002,0
75,16031.0,423,92.0,247.0,548,1
76,17719.0,2466,37.0,255.0,5396,2
77,12785.0,131,364.0,364.0,311,0
78,16387.0,44,322.0,322.0,94,0
79,18016.0,1029,32.0,364.0,1483,2
80,12427.0,533,21.0,371.0,825,2
81,13276.0,161,63.0,99.0,590,3
82,13917.0,228,49.0,191.0,272,1
83,14968.0,127,30.0,30.0,147,3
84,13102.0,4204,1.0,365.0,6424,2
85,16484.0,200,173.0,190.0,404,1
86,17139.0,5182,15.0,288.0,10668,2
87,17382.0,25,65.0,65.0,65,3
88,13278.0,537,40.0,40.0,542,3
89,15006.0,302,51.0,51.0,502,3
90,14524.0,676,31.0,360.0,1867,2
91,13956.0,491,5.0,271.0,1026,2
92,17179.0,290,178.0,361.0,711,0
93,16116.0,248,211.0,211.0,612,0
94,15488.0,73,92.0,92.0,91,3
95,17844.0,52,106.0,106.0,51,3
96,14219.0,78,4.0,4.0,89,3
97,18043.0,282,24.0,366.0,559,2
98,16050.0,278,173.0,173.0,137,1
99,12409.0,5551,78.0,182.0,11072,1
